0,0,3,4,5,20,21,19,0,0,0,16,16,17,7,7,8,6,8,17,16,15,5,4,9,12,12,12,11,9,10,11,11,10,5,0,0,0,0,0,0,0,0,3,4,12,22,20,18,15,12,22,22,24,19,13,12,11,16,23,23,21,7,3,3,1,0,0,0,0,0,0,0
0,4,5,5,23,26,25,24,0,0,0,19,20,20,12,10,11,9,11,10,20,20,19,17,6,5,14,17,17,15,17,16,16,17,18,16,18,11,6,0,0,0,0,0,1,3,4,14,26,28,28,28,25,11,16,24,29,29,29,26,23,12,15,21,23,25,27,19,14,10,6,3,0
0,0,3,4,5,19,21,19,0,0,1,16,16,17,8,7,8,7,8,17,16,15,5,4,9,10,11,11,11,9,10,11,11,9,5,0,0,0,0,0,0,0,0,1,4,13,24,23,20,12,10,14,25,25,25,17,9,9,17,19,22,19,10,5,0,0,0,0,0,0,0,0,0
0,0,0,5,6,14,23,26,26,24,0,0,0,16,21,21,13,11,9,8,10,10,13,15,19,19,12,5,5,12,13,13,15,14,13,11,14,10,0,0,3,4,11,18,24,25,27,22,14,13,13,18,24,24,23,21,10,13,16,21,22,25,26,14,9,5,1,0,0,0,0,0,0
4,6,25,27,27,24,0,0,18,20,20,20,10,9,8,9,9,9,20,20,19,18,5,4,9,11,12,14,14,15,15,14,14,14,13,11,6,0,0,0,8,11,17,26,27,25,18,15,15,17,27,29,29,29,19,13,12,12,18,25,28,28,22,12,7,2,2,0,0,0,0,0,0
0,0,3,4,5,19,21,19,0,0,1,16,17,17,7,7,7,6,8,16,16,15,5,3,9,10,12,11,10,10,10,10,9,9,5,0,0,0,0,0,0,0,0,0,0,1,4,9,22,20,18,15,11,20,22,24,19,13,12,11,14,22,23,21,9,3,3,1,0,0,0,0,0
0,0,0,0,4,4,20,21,0,0,0,0,16,17,7,5,6,7,6,8,16,13,3,3,6,9,10,9,10,10,12,10,9,5,2,0,0,0,0,0,0,0,0,1,6,14,19,19,11,6,7,9,20,20,20,9,6,7,7,14,16,18,9,7,3,0,0,0,0,0,0,0,0
0,0,0,2,5,5,22,24,23,10,0,0,0,18,18,18,7,7,8,8,8,10,19,18,18,5,4,6,12,13,14,14,13,13,13,14,15,12,5,4,0,0,2,4,7,22,26,26,25,15,10,12,17,26,27,26,23,15,9,10,17,20,21,19,11,8,5,2,0,0,0,0,0
0,0,0,0,0,2,4,12,20,20,9,0,0,0,16,16,8,7,6,6,6,8,16,16,5,4,4,9,12,12,12,11,11,11,13,11,5,4,0,0,0,0,0,0,2,3,13,22,23,22,13,8,12,20,23,22,20,9,6,11,16,17,16,9,5,3,1,0,0,0,0,0,0
3,4,5,20,24,23,15,0,0,4,18,19,18,9,7,8,8,7,9,19,18,17,6,5,8,10,13,12,12,11,10,12,11,11,12,8,5,0,0,0,0,0,0,3,6,18,26,23,21,13,12,15,20,27,28,27,16,11,10,12,21,24,25,24,10,7,2,0,0,0,0,0,0
0,3,19,22,20,6,8,10,11,12,18,22,22,22,21,19,19,20,23,23,22,21,18,16,12,15,15,17,21,23,20,10,8,8,8,10,9,0,0,0,0,0,21,29,31,31,32,17,19,21,20,19,15,27,27,28,26,16,16,22,22,20,8,7,11,35,35,18,0,0,0,0,1
0,0,16,21,20,20,8,10,13,12,13,22,24,23,21,18,18,18,23,24,22,21,17,14,11,15,16,18,21,23,16,8,8,9,10,10,7,0,0,0,0,0,5,30,30,31,31,4,9,18,19,18,12,17,28,27,28,20,14,20,22,21,19,6,7,34,35,33,32,0,0,0,1
0,0,0,1,15,18,17,7,7,9,10,14,19,21,18,16,15,16,21,21,18,16,13,11,11,13,14,17,20,12,6,7,8,9,7,0,0,0,0,0,0,0,0,0,9,26,27,28,7,7,16,17,14,14,24,24,24,15,15,20,18,17,6,8,31,31,29,0,0,0,0,0,1
0,0,0,0,14,19,19,12,11,11,11,14,22,22,22,22,21,22,22,22,23,23,20,17,18,17,18,18,22,23,21,12,9,9,10,9,8,3,0,0,0,0,2,26,31,32,34,28,20,20,19,20,25,27,27,22,19,20,21,21,23,31,32,32,28,6,0,0,0,0,0,0,1
0,0,0,0,15,18,17,8,8,12,12,15,20,21,19,17,17,16,21,21,18,16,13,12,12,15,17,19,21,15,7,7,9,8,7,0,0,0,0,0,0,0,1,14,26,27,25,12,7,18,18,16,16,21,24,24,17,15,20,18,19,8,12,31,30,26,8,0,0,0,0,0,1
11,19,19,8,6,3,9,10,11,13,19,21,22,22,21,17,16,18,22,21,21,21,19,16,13,10,12,15,16,16,20,21,19,7,7,7,7,8,5,0,33,33,33,13,4,18,22,21,14,14,23,28,30,29,23,17,20,23,21,19,5,3,10,38,37,37,0,0,0,0,0,0,1
0,0,15,18,18,6,3,4,10,10,10,17,19,19,18,15,15,14,14,15,16,21,16,13,11,10,12,13,14,17,17,20,7,7,7,7,8,8,5,0,0,0,0,0,30,31,31,8,4,14,16,15,7,10,23,27,27,14,11,12,20,19,13,4,6,37,37,35,18,0,0,0,1
0,0,0,0,15,18,17,7,6,11,12,15,20,22,20,17,16,16,21,21,18,16,15,12,13,15,16,19,21,15,8,8,8,9,7,0,0,0,0,0,0,0,0,0,0,10,26,28,29,20,8,14,14,16,18,25,24,23,16,16,18,18,17,8,13,31,30,25,7,0,0,0,1
0,0,11,18,17,6,3,5,9,10,12,17,18,20,20,20,18,18,21,21,21,20,19,16,13,11,14,16,16,20,20,16,6,6,6,6,4,0,0,0,0,0,4,21,30,31,27,16,17,17,14,16,27,28,28,24,16,19,21,18,16,5,10,34,34,21,0,0,0,0,0,0,1
0,0,0,1,15,18,17,7,6,11,12,14,20,22,21,18,16,16,21,21,18,16,13,12,12,13,15,18,21,15,8,8,8,8,6,0,0,0,0,0,0,0,0,0,0,11,26,26,26,13,7,18,18,16,13,21,24,24,17,15,20,18,17,8,11,29,30,29,10,0,0,0,1
0,0,0,2,5,19,19,19,6,11,16,9,11,16,17,13,16,17,13,9,8,19,19,2,0,23,24,21,4,15,16,16,5,4,10,9,5,0,0,0,0,2,2,21,21,22,19,14,19,19,20,24,26,25,18,18,21,22,19,28,27,24,3,3,1,0,0,0,0,0,0,0,2
